icao24;callsign;estDepartureAirport;estArrivalAirport;firstSeen_dt;lastSeen_dt;fecha_salida;hora_salida;dia_semana;mes;anio;duracion_minutos
a077f4;N1293T  ;KHWO;KTNT;2024-01-29 12:24:34;2024-01-29 12:51:12;2024-01-29;12;Monday;1;2024;26,633333333333333
aa19b7;N75WU   ;EDRK;EDRK;2024-01-29 12:43:09;2024-01-29 12:57:29;2024-01-29;12;Monday;1;2024;14,333333333333334
ac42fc;N89AA   ;KGSP;KGSO;2024-01-29 12:32:26;2024-01-29 12:57:27;2024-01-29;12;Monday;1;2024;25,016666666666666
e2006f;LVS060  ;SADM;;2024-01-29 12:11:12;2024-01-29 12:59:09;2024-01-29;12;Monday;1;2024;47,95
347311;AEA6025 ;LEMD;LEIB;2024-01-29 12:07:30;2024-01-29 12:48:22;2024-01-29;12;Monday;1;2024;40,86666666666667
e48135;TAM3133 ;;SBSP;2024-01-29 12:06:31;2024-01-29 12:21:21;2024-01-29;12;Monday;1;2024;14,833333333333334
e48ac5;AZU2846 ;SBKP;;2024-01-29 12:08:30;2024-01-29 12:35:29;2024-01-29;12;Monday;1;2024;26,98333333333333
e48d6e;PPNMM   ;;SBSP;2024-01-29 12:11:34;2024-01-29 12:54:09;2024-01-29;12;Monday;1;2024;42,583333333333336
47807f;NOR240  ;;ENBR;2024-01-29 12:24:23;2024-01-29 12:43:45;2024-01-29;12;Monday;1;2024;19,366666666666667
3a4561;SPM1121 ;;;2024-01-29 12:31:40;2024-01-29 12:51:29;2024-01-29;12;Monday;1;2024;19,816666666666663
a21109;N232MH  ;KEWR;KEWR;2024-01-29 12:02:09;2024-01-29 12:21:59;2024-01-29;12;Monday;1;2024;19,83333333333333
ac490c;N891AA  ;KDNL;KSAV;2024-01-29 12:25:34;2024-01-29 12:50:36;2024-01-29;12;Monday;1;2024;25,03333333333333
151e57;PBD167  ;;URMM;2024-01-29 12:23:32;2024-01-29 12:34:22;2024-01-29;12;Monday;1;2024;10,833333333333334
a79406;N588EB  ;;KCHS;2024-01-29 12:43:48;2024-01-29 12:55:59;2024-01-29;12;Monday;1;2024;12,183333333333334
ae51b9;HAZE74  ;EDQB;EDQB;2024-01-29 12:23:41;2024-01-29 12:58:51;2024-01-29;12;Monday;1;2024;35,166666666666664
706026;KAC792  ;;OKBK;2024-01-29 12:05:01;2024-01-29 12:21:55;2024-01-29;12;Monday;1;2024;16,9
717ca2;SVA500  ;;OKBK;2024-01-29 12:43:18;2024-01-29 12:59:25;2024-01-29;12;Monday;1;2024;16,116666666666667
78050a;CQN2167 ;;;2024-01-29 12:37:00;2024-01-29 12:59:22;2024-01-29;12;Monday;1;2024;22,366666666666667
8414a9;JTA48   ;;RJGG;2024-01-29 12:37:01;2024-01-29 12:59:57;2024-01-29;12;Monday;1;2024;22,933333333333334
86d607;APJ158  ;RJFF;RJBB;2024-01-29 12:04:47;2024-01-29 12:42:24;2024-01-29;12;Monday;1;2024;37,61666666666667
a480f2;N39FE   ;;;2024-01-29 12:40:40;2024-01-29 12:58:58;2024-01-29;12;Monday;1;2024;18,3
aa493e;ATN3014 ;;KMIA;2024-01-29 12:42:34;2024-01-29 12:55:24;2024-01-29;12;Monday;1;2024;12,833333333333334
e48e94;GLO2029 ;SBBR;;2024-01-29 12:25:30;2024-01-29 12:39:45;2024-01-29;12;Monday;1;2024;14,25
151dff;SDM6342 ;;;2024-01-29 12:02:32;2024-01-29 12:56:45;2024-01-29;12;Monday;1;2024;54,21666666666667
4010ea;EZY432A ;EGPH;EGAA;2024-01-29 12:00:02;2024-01-29 12:31:09;2024-01-29;12;Monday;1;2024;31,116666666666667
44082a;AUA3F   ;LOWW;LDZL;2024-01-29 12:15:33;2024-01-29 12:43:46;2024-01-29;12;Monday;1;2024;28,216666666666665
4b07df;HBCZN   ;LSGL;LSZG;2024-01-29 12:22:20;2024-01-29 12:52:48;2024-01-29;12;Monday;1;2024;30,466666666666665
a6f326;JIA5088 ;KORF;KPHL;2024-01-29 12:03:49;2024-01-29 12:45:26;2024-01-29;12;Monday;1;2024;41,61666666666667
393322;AFR55PK ;LFPG;LFHC;2024-01-29 12:19:49;2024-01-29 12:57:28;2024-01-29;12;Monday;1;2024;37,65
3dafb2;PTO405  ;ETNL;EDUW;2024-01-29 12:30:54;2024-01-29 12:46:14;2024-01-29;12;Monday;1;2024;15,333333333333334
4b4271;HBZEF   ;LSGB;LSGB;2024-01-29 12:07:34;2024-01-29 12:20:19;2024-01-29;12;Monday;1;2024;12,75
4d2091;LWG29B  ;LFMN;LIME;2024-01-29 12:05:12;2024-01-29 12:42:15;2024-01-29;12;Monday;1;2024;37,05
88819f;BAV124  ;;VVGL;2024-01-29 12:17:34;2024-01-29 12:38:54;2024-01-29;12;Monday;1;2024;21,33333333333333
a69549;NKS3642 ;KMCO;;2024-01-29 12:12:01;2024-01-29 12:56:24;2024-01-29;12;Monday;1;2024;44,38333333333333
aba7dc;N850FG  ;KTTN;KTTN;2024-01-29 12:18:05;2024-01-29 12:47:27;2024-01-29;12;Monday;1;2024;29,366666666666667
ad9293;DAL1320 ;KCLE;KDTW;2024-01-29 12:03:16;2024-01-29 12:26:28;2024-01-29;12;Monday;1;2024;23,2
e4925c;AZU2777 ;;SBSP;2024-01-29 12:08:01;2024-01-29 12:34:14;2024-01-29;12;Monday;1;2024;26,216666666666665
780c68;CSZ9326 ;;ZGSZ;2024-01-29 12:22:45;2024-01-29 12:42:49;2024-01-29;12;Monday;1;2024;20,066666666666663
c0174f;ACA881  ;LSZH;LSZH;2024-01-29 12:26:04;2024-01-29 12:43:47;2024-01-29;12;Monday;1;2024;17,716666666666665
39dd54;CCM26JA ;LFMN;LFKJ;2024-01-29 12:07:47;2024-01-29 12:39:47;2024-01-29;12;Monday;1;2024;32,0
48f9c1;SPSGOB  ;;EPNL;2024-01-29 12:16:30;2024-01-29 12:51:31;2024-01-29;12;Monday;1;2024;35,016666666666666
